Login, Iniciar sesión
Logout, Cerrar sesión
Welcome Back, Bienvenido de nuevo
Please sign in to your account, Inicie sesión en su cuenta
Email, Correo electrónico
Password, Contraseña
Forgot your password?, ¿Olvidaste tu contraseña?
Create an account, Crear una cuenta
Register, Registrarse
Full Name, Nombre completo
Full name, Nombre completo
SIGN IN, INICIAR SESIÓN
Order History, Historial de pedidos
Account Details, Detalles de la cuenta
You have not placed any orders yet, Aún no has realizado ningún pedido
My Account, Mi cuenta
Already have an account?, ¿Ya tienes una cuenta?
Contact information, Información de contacto
City, Ciudad
Account Information, Información de la cuenta
Address, Dirección
Postcode, Código postal
Postcode is required, El código postal es obligatorio
Telephone is required, El número de teléfono es obligatorio
Telephone, Teléfono
Full name is required, El nombre completo es obligatorio
Country is required, El país es obligatorio
Country, País
Province is required, La provincia es obligatoria
Province, Provincia
Billing Address, Dirección de facturación
Shipping Address, Dirección de envío
Create A New Account, Crear una nueva cuenta
Contact, Contacto
Customer information, Información del cliente
Recent Orders, Ordenes Recientes
Address Book, Mis direcciones
You have no addresses saved, No tienes ninguna dirección guardada
Add new address, Agregar nueva dirección
Save, Guardar
Set as default, Establecer como predeterminado
Edit, Editar
Delete, Eliminar
Product Name, Nombre del producto
Order Date, Fecha de Pedido
Details, Detalles
Status, Estado
View Details, Ver Detalles
Pending, Pendiete
Number Order, Numero de orden
Close, Cerrar
Shipped, Enviado
Delivered,Entregado
Welcome Back!, Bienvenido de nuevo
Join us for exclusive offers and order tracking, Únete a nosotros para disfrutar de ofertas\nexclusivas y seguir el estado de tu pedido!
Your password has been updated successfully, Tu contraseña ha sido actualizada exitosamente
Go to Login, Ir a iniciar sesión
Enter your new password, Ingresa tu nueva contraseña
Password, Contraseña
Password is required, La contraseña es obligatoria
UPDATE PASSWORD, ACTUALIZAR CONTRASEÑA
We have sent you an email with a link to reset your password. Please check your inbox, Te hemos enviado un correo con un enlace para restablecer tu contraseña.\nPor favor revisa tu bandeja de entrada
Reset Your Password, Restablece tu contraseña
Please enter your email to receive a reset link, Por favor ingresa tu correo electrónico para recibir un enlace de restablecimiento
Reset Password, Restablece tu contraseña
reset_password_email,Te hemos enviado un correo con un enlace para restablecer tu contraseña.\nPor favor revisa tu bandeja de entrada
Go to Home, Volver Al Inicio
Sign Up, Crear Cuenta